"","index","value","variable","has_issue","issue_type"
"104",2664,500,"wpppd",TRUE,"normal distribution outlier"
"105",2673,208.333333333333,"wpppd",TRUE,"normal distribution outlier"
"106",2674,383.333333333333,"wpppd",TRUE,"normal distribution outlier"
"107",2704,225,"wpppd",TRUE,"normal distribution outlier"
"108",2733,410,"wpppd",TRUE,"normal distribution outlier"
"109",2754,575,"wpppd",TRUE,"normal distribution outlier"
"110",2755,241.230769230769,"wpppd",TRUE,"normal distribution outlier"
"111",2767,161.666666666667,"wpppd",TRUE,"normal distribution outlier"
"112",2780,247.5,"wpppd",TRUE,"normal distribution outlier"
"113",2783,237.5,"wpppd",TRUE,"normal distribution outlier"
"114",2789,160,"wpppd",TRUE,"normal distribution outlier"
"115",2823,186.666666666667,"wpppd",TRUE,"normal distribution outlier"
"116",2856,160,"wpppd",TRUE,"normal distribution outlier"
"117",2871,480,"wpppd",TRUE,"normal distribution outlier"
"118",2963,250,"wpppd",TRUE,"normal distribution outlier"
"119",3042,250,"wpppd",TRUE,"normal distribution outlier"
"120",3058,320,"wpppd",TRUE,"normal distribution outlier"
"121",3155,183.2,"wpppd",TRUE,"normal distribution outlier"
"122",3157,250,"wpppd",TRUE,"normal distribution outlier"
"123",3158,348.181818181818,"wpppd",TRUE,"normal distribution outlier"
"124",3160,1019,"wpppd",TRUE,"normal distribution outlier"
"125",3180,281.25,"wpppd",TRUE,"normal distribution outlier"
"126",3181,1040,"wpppd",TRUE,"normal distribution outlier"
"127",3182,666.666666666667,"wpppd",TRUE,"normal distribution outlier"
"128",3183,666.666666666667,"wpppd",TRUE,"normal distribution outlier"
"129",3193,208.333333333333,"wpppd",TRUE,"normal distribution outlier"
"130",3236,170,"wpppd",TRUE,"normal distribution outlier"
"131",3305,285,"wpppd",TRUE,"normal distribution outlier"
"132",3333,170,"wpppd",TRUE,"normal distribution outlier"
"133",3338,320,"wpppd",TRUE,"normal distribution outlier"
"134",3340,490,"wpppd",TRUE,"normal distribution outlier"
"135",3341,500,"wpppd",TRUE,"normal distribution outlier"
"136",3346,180,"wpppd",TRUE,"normal distribution outlier"
"137",3398,312.5,"wpppd",TRUE,"normal distribution outlier"
"138",3400,416.666666666667,"wpppd",TRUE,"normal distribution outlier"
"139",3401,250,"wpppd",TRUE,"normal distribution outlier"
"140",3402,156.25,"wpppd",TRUE,"normal distribution outlier"
"141",3403,178.571428571429,"wpppd",TRUE,"normal distribution outlier"
"142",3407,625,"wpppd",TRUE,"normal distribution outlier"
"143",3408,266.666666666667,"wpppd",TRUE,"normal distribution outlier"
"144",3422,175,"wpppd",TRUE,"normal distribution outlier"
"145",3438,200,"wpppd",TRUE,"normal distribution outlier"
"146",3440,200,"wpppd",TRUE,"normal distribution outlier"
"147",3471,154.285714285714,"wpppd",TRUE,"normal distribution outlier"
"148",3474,230,"wpppd",TRUE,"normal distribution outlier"
"149",3490,193.5,"wpppd",TRUE,"normal distribution outlier"
"150",3492,240,"wpppd",TRUE,"normal distribution outlier"
"151",3512,180,"wpppd",TRUE,"normal distribution outlier"
"152",3548,175,"wpppd",TRUE,"normal distribution outlier"
"153",3583,160,"wpppd",TRUE,"normal distribution outlier"
"154",3623,194,"wpppd",TRUE,"normal distribution outlier"
"155",3666,350,"wpppd",TRUE,"normal distribution outlier"
"156",3667,270,"wpppd",TRUE,"normal distribution outlier"
"157",3697,270,"wpppd",TRUE,"normal distribution outlier"
"158",3776,240,"wpppd",TRUE,"normal distribution outlier"
"159",3876,156.25,"wpppd",TRUE,"normal distribution outlier"
"160",3881,265,"wpppd",TRUE,"normal distribution outlier"
"161",3959,408,"wpppd",TRUE,"normal distribution outlier"
"162",3960,323.571428571429,"wpppd",TRUE,"normal distribution outlier"
"163",3963,221,"wpppd",TRUE,"normal distribution outlier"
