strata,population
AdamawaOverall,601998
AdamawaND,512813
AdamawaIDP,26782
AdamawaReturnee,62403
BornoOverall,762461
BornoND,404513
BornoIDP,237163
BornoReturnee,120785
YobeOverall,349938
YobeND,307899
YobeIDP,17603
YobeReturnee,24436
