"","secu_incident_comp","documentation_comp","eviction_comp","restriction_comp","exploitation_comp","missing_comp","psycho_distress_comp","protection_index"
"158",0,0.5,0,2,0,0,0,1
"159",0,0,0,0,0,0,0,1
"160",0,1,0.5,0,1,3,0,2
"161",0,0,0,1,0,0,0,1
"162",0,0,0,0,1,0,0,1
"163",0,0,0,0,0,0,0,1
"164",0,0,0,0,0,0,0,1
"165",0,0,0,0,0,0,0,1
"166",0,0,0,0,0,0,1,1
"167",0,0,0,0,1,0,0,1
"168",0,1.5,0,1,0,0,0,1
"169",0,0,0,1,0,0,0,1
"170",0,0,0,0,0,0,1,1
"171",0,1,0,0,0,0,0,1
"172",0,0,0,0,0,0,0,1
"173",0,0,0.5,0,0,0,0,1
"174",0,0,0,1,0,0,0,1
"175",0,1.5,0,1,1,0,1,2
"176",0,0,0,0,0,0,0,1
"177",0,0,0,0,0,1,1,1
"178",0,1.5,0,0,0,0,0,1
"179",0,1.5,0,0,0,0,0,1
"180",0,1,0,0,1,0,1,2
"181",0,0,0,0,0,0,0,1
"182",0,0,0,0,1,0,1,1
"183",0,0,0,0,0,0,1,1
"184",0,1.5,0,0,0,0,0,1
"185",0,0,0,0,0,0,0,1
"186",0,1,0,0,0,0,0,1
"187",0,0,0,0,0,0,1,1
"188",0,1,0,1,0,0,1,2
"189",0,1.5,0,1,0,0,1,2
"190",0,0,0,1,0,0,0,1
"191",0,0,0,0,0,0,0,1
"192",0,0,0,1,0,0,0,1
"193",0,1.5,0,0,0,0,0,1
"194",0,0,0,0,0,0,1,1
"195",0,1.5,0,0,0,0,0,1
"196",0,1,0,0,0,0,0,1
"197",0,0,0,0,0,0,0,1
"198",0,1.5,0,1,0,0,0,1
"199",0,1,0.5,0,0,0,0,1
"200",0,0,0,0,0,0,0,1
